Task name: Communicating
expired: 134646
completed: 1781096
Task name: Exception Handling
expired: 75
completed: 22298
Task name: Paperwork
expired: 0
completed: 485047
Task name: Maintenance of Way Interactions
expired: 4
completed: 33949
Task name: Temporary Speed Restrictions
expired: 1653
completed: 143913
Task name: Signal Response Management
expired: 2237
completed: 211647
Task name: Monitoring Inside
expired: 0
completed: 852659
Task name: Monitoring Outside
expired: 0
completed: 763688
Task name: Planning Ahead
expired: 1359
completed: 601019
