Task name: Communicating
expired: 341
completed: 8574
Task name: Exception Handling
expired: 0
completed: 13
Task name: Paperwork
expired: 0
completed: 1495
Task name: Maintenance of Way Interactions
expired: 0
completed: 26
Task name: Temporary Speed Restrictions
expired: 52
completed: 540
Task name: Signal Response Management
expired: 1
completed: 1706
Task name: Monitoring Inside
expired: 0
completed: 0
Task name: Monitoring Outside
expired: 0
completed: 0
Task name: Communicating internally
expired: 0
completed: 0
*** FAILED TASKS ***
In Replication 0: Number of Fail Tasks: 21
In Replication 1: Number of Fail Tasks: 26
