Task name: Communicating
expired: 25
completed: 7000
Task name: Exception Handling
expired: 0
completed: 0
Task name: Paperwork
expired: 0
completed: 394
Task name: Maintenance of Way Interactions
expired: 0
completed: 16
Task name: Temporary Speed Restrictions
expired: 1
completed: 133
Task name: Signal Response Management
expired: 0
completed: 20
Task name: Monitoring Inside
expired: 0
completed: 80
Task name: Monitoring Outside
expired: 0
completed: 425
Task name: Planning Ahead
expired: 0
completed: 36
