Task name: Communicating
expired: 17841
completed: 1131985
Task name: Exception Handling
expired: 48
completed: 11115
Task name: Paperwork
expired: 0
completed: 257329
Task name: Maintenance of Way Interactions
expired: 3
completed: 16809
Task name: Temporary Speed Restrictions
expired: 788
completed: 75232
Task name: Signal Response Management
expired: 1240
completed: 106779
Task name: Monitoring Inside
expired: 0
completed: 425591
Task name: Monitoring Outside
expired: 0
completed: 380270
Task name: Planning Ahead
expired: 687
completed: 300108
