Task name: Communicating
expired: 60160
completed: 1539874
Task name: Exception Handling
expired: 78
completed: 16684
Task name: Paperwork
expired: 0
completed: 371975
Task name: Maintenance of Way Interactions
expired: 0
completed: 25436
Task name: Temporary Speed Restrictions
expired: 1183
completed: 110014
Task name: Signal Response Management
expired: 1733
completed: 159008
Task name: Monitoring Inside
expired: 0
completed: 639599
Task name: Monitoring Outside
expired: 0
completed: 570898
Task name: Planning Ahead
expired: 1031
completed: 450219
