Task name: Communicating
expired: 19546
completed: 1881823
Task name: Exception Handling
expired: 215
completed: 55827
Task name: Paperwork
expired: 0
completed: 1193878
Task name: Maintenance of Way Interactions
expired: 16
completed: 84353
Task name: Temporary Speed Restrictions
expired: 3922
completed: 351066
Task name: Signal Response Management
expired: 5188
completed: 532541
Task name: Monitoring Inside
expired: 0
completed: 2133434
Task name: Monitoring Outside
expired: 0
completed: 1905935
Task name: Planning Ahead
expired: 3484
completed: 1507402
