Task name: Communicating
expired: 18457
completed: 1130703
Task name: Exception Handling
expired: 43
completed: 11109
Task name: Paperwork
expired: 0
completed: 257218
Task name: Maintenance of Way Interactions
expired: 3
completed: 16965
Task name: Temporary Speed Restrictions
expired: 817
completed: 75335
Task name: Signal Response Management
expired: 1219
completed: 106642
Task name: Monitoring Inside
expired: 0
completed: 426692
Task name: Monitoring Outside
expired: 0
completed: 381926
Task name: Planning Ahead
expired: 723
completed: 300113
