Task name: Communicating
expired: 19967
completed: 1896270
Task name: Exception Handling
expired: 431
completed: 112012
Task name: Paperwork
expired: 0
completed: 2384907
Task name: Maintenance of Way Interactions
expired: 22
completed: 169224
Task name: Temporary Speed Restrictions
expired: 7929
completed: 697408
Task name: Signal Response Management
expired: 9844
completed: 1066316
Task name: Monitoring Inside
expired: 0
completed: 4269135
Task name: Monitoring Outside
expired: 0
completed: 3809671
Task name: Planning Ahead
expired: 7406
completed: 3006891
